iso3,treaty,in_force
BRA,tlatelolco,1967
ARG,tlatelolco,1967
ATG,tlatelolco,1967
BHS,tlatelolco,1967
BRB,tlatelolco,1967
BLZ,tlatelolco,1967
BOL,tlatelolco,1967
CHL,tlatelolco,1967
COL,tlatelolco,1967
CRI,tlatelolco,1967
CUB,tlatelolco,1967
DMA,tlatelolco,1967
DOM,tlatelolco,1967
ECU,tlatelolco,1967
SLV,tlatelolco,1967
GRD,tlatelolco,1967
GTM,tlatelolco,1967
GUY,tlatelolco,1967
HTI,tlatelolco,1967
HND,tlatelolco,1967
JAM,tlatelolco,1967
MEX,tlatelolco,1967
NIC,tlatelolco,1967
PAN,tlatelolco,1967
PRY,tlatelolco,1967
PER,tlatelolco,1967
KNA,tlatelolco,1967
LCA,tlatelolco,1967
VCT,tlatelolco,1967
SUR,tlatelolco,1967
TTO,tlatelolco,1967
URY,tlatelolco,1967
VEN,tlatelolco,1967
AUS,rarotonga,1986
COK,rarotonga,1986
FJI,rarotonga,1986
KIR,rarotonga,1986
NRU,rarotonga,1986
NZL,rarotonga,1986
NIU,rarotonga,1986
PNG,rarotonga,1986
WSM,rarotonga,1986
SLB,rarotonga,1986
TON,rarotonga,1986
TUV,rarotonga,1986
VUT,rarotonga,1986
BRN,bangkok,1997
KHM,bangkok,1997
IDN,bangkok,1997
LAO,bangkok,1997
MYS,bangkok,1997
MMR,bangkok,1997
PHL,bangkok,1997
SGP,bangkok,1997
THA,bangkok,1997
VNM,bangkok,1997
DZA,pelindaba,2009
AGO,pelindaba,2009
BEN,pelindaba,2009
BWA,pelindaba,2009
BFA,pelindaba,2009
BDI,pelindaba,2009
CPV,pelindaba,2009
CMR,pelindaba,2009
CAF,pelindaba,2009
TCD,pelindaba,2009
COM,pelindaba,2009
COG,pelindaba,2009
CIV,pelindaba,2009
COD,pelindaba,2009
DJI,pelindaba,2009
EGY,pelindaba,2009
GNQ,pelindaba,2009
ERI,pelindaba,2009
SWZ,pelindaba,2009
ETH,pelindaba,2009
GAB,pelindaba,2009
GMB,pelindaba,2009
GHA,pelindaba,2009
GIN,pelindaba,2009
GNB,pelindaba,2009
KEN,pelindaba,2009
LSO,pelindaba,2009
LBR,pelindaba,2009
LBY,pelindaba,2009
MDG,pelindaba,2009
MWI,pelindaba,2009
MLI,pelindaba,2009
MRT,pelindaba,2009
MUS,pelindaba,2009
MAR,pelindaba,2009
MOZ,pelindaba,2009
NAM,pelindaba,2009
NER,pelindaba,2009
NGA,pelindaba,2009
RWA,pelindaba,2009
STP,pelindaba,2009
SEN,pelindaba,2009
SYC,pelindaba,2009
SLE,pelindaba,2009
SOM,pelindaba,2009
SOL,pelindaba,2009
ZAF,pelindaba,2009
SDN,pelindaba,2009
TGO,pelindaba,2009
TUN,pelindaba,2009
UGA,pelindaba,2009
TZA,pelindaba,2009
ZMB,pelindaba,2009
ZWE,pelindaba,2009
SAH,pelindaba,2009
KAZ,semipalatinsk,2009
KGZ,semipalatinsk,2009
TJK,semipalatinsk,2009
TKM,semipalatinsk,2009
UZB,semipalatinsk,2009
